beta,tau,mcrit,m_front,width,finite,valid,tau_onset,delta_tau_from_onset,abs_offset
2.0,0.65,-0.54,-1.246398603405562,0.2895695657201572,True,False,0.15000000000000002,0.5,0.706398603405562
2.0,0.7000000000000001,-0.6049999999999995,-1.259585616766965,0.28278758390081427,True,False,0.15000000000000002,0.55,0.6545856167669655
2.0,0.75,-0.6049999999999995,-1.2710519873282857,0.27206579691431865,True,False,0.15000000000000002,0.6,0.6660519873282862
2.0,0.8,-0.6049999999999995,-1.2831272440896775,0.2617639991045643,True,False,0.15000000000000002,0.65,0.678127244089678
2.0,0.8500000000000001,-0.6699999999999999,-1.2958364050870532,0.2546010568097748,True,False,0.15000000000000002,0.7000000000000001,0.6258364050870533
2.0,0.9,-0.6699999999999999,-1.3097431466972829,0.24521085905547155,True,False,0.15000000000000002,0.75,0.6397431466972829
2.0,0.9500000000000001,-0.7349999999999994,-1.324080794962909,0.2385914584971396,True,False,0.15000000000000002,0.8,0.5890807949629095
2.0,1.0,-0.7349999999999994,-1.3413381945958585,0.23077230497603227,True,False,0.15000000000000002,0.85,0.606338194595859
2.0,1.05,-0.7999999999999998,-1.3632321216693533,0.22431066318824547,True,False,0.15000000000000002,0.9,0.5632321216693534
2.0,1.1,-0.7999999999999998,-1.3852223188717179,0.21850066242619856,True,False,0.15000000000000002,0.9500000000000001,0.585222318871718
2.0,1.1500000000000001,-0.8650000000000002,-1.4075917749401983,0.21529955628747977,True,False,0.15000000000000002,1.0,0.5425917749401981
2.0,1.2000000000000002,-0.8650000000000002,-1.435183548268784,0.21171057823387882,True,False,0.15000000000000002,1.0500000000000003,0.5701835482687838
2.0,1.25,-0.9299999999999997,-1.4631819857989024,0.21059702742348754,True,False,0.15000000000000002,1.1,0.5331819857989026
2.0,1.3,-0.9950000000000001,-1.493944263186295,0.21045015182982668,True,False,0.15000000000000002,1.15,0.4989442631862948
2.0,1.35,-0.9950000000000001,-1.5304892190967323,0.209687780184216,True,False,0.15000000000000002,1.2000000000000002,0.5354892190967322
2.0,1.4000000000000001,-1.0599999999999996,-1.5666841208644282,0.21108085971784085,True,False,0.15000000000000002,1.25,0.5066841208644286
2.0,1.4500000000000002,-1.125,-1.6090194253785506,0.21184772013796552,True,False,0.15000000000000002,1.3000000000000003,0.4840194253785506
2.0,1.5,-1.1899999999999995,-1.6492719995172869,0.2139079252066022,True,False,0.15000000000000002,1.35,0.45927199951728737
2.0,1.55,-1.1899999999999995,-1.6951087638041038,0.21450085550297388,True,False,0.15000000000000002,1.4,0.5051087638041043
2.0,1.6,-1.255,-1.7385552169106628,0.2167869418012095,True,False,0.15000000000000002,1.4500000000000002,0.48355521691066294
2.0,1.6500000000000001,-1.3200000000000003,-1.786803095587664,0.21825830844556754,True,False,0.15000000000000002,1.5,0.46680309558766364
2.0,1.7000000000000002,-1.3849999999999998,-1.8327074898335192,0.22105108739116053,True,False,0.15000000000000002,1.5500000000000003,0.4477074898335194
2.0,1.75,-1.4500000000000002,-1.8802238343548736,0.22431982327883884,True,False,0.15000000000000002,1.6,0.43022383435487344
2.0,1.8,-1.5149999999999997,-1.929670722866021,0.22837758665035823,True,False,0.15000000000000002,1.65,0.41467072286602136
2.0,1.85,-1.6449999999999996,-1.978589697190308,0.2346807202160794,True,False,0.15000000000000002,1.7000000000000002,0.3335896971903085
2.0,1.9000000000000001,-1.71,-2.032518891781653,0.24076143550552123,True,False,0.15000000000000002,1.75,0.32251889178165305
2.0,1.9500000000000002,-1.7749999999999995,-2.0894337110132266,0.24782344861131442,True,False,0.15000000000000002,1.8000000000000003,0.31443371101322715
2.0,2.0,-1.8399999999999999,-2.151618160199495,0.25523662283028126,True,True,0.15000000000000002,1.85,0.3116181601994952
2.0,2.0500000000000003,-1.9699999999999998,-2.207613448643494,0.2672883794251863,True,True,0.15000000000000002,1.9000000000000004,0.23761344864349443
2.0,2.1,-2.0349999999999997,-2.2748346540104083,0.2773519311279618,True,True,0.15000000000000002,1.9500000000000002,0.2398346540104086
2.0,2.15,-2.165,-2.338882761996927,0.29149667328975576,True,True,0.15000000000000002,2.0,0.17388276199692676
2.0,2.2,-2.295,-2.403732571538854,0.3084164360255449,True,True,0.15000000000000002,2.0500000000000003,0.10873257153885385
2.0,2.25,-2.36,-2.4825134163481746,0.322882408666006,True,True,0.15000000000000002,2.1,0.1225134163481747
2.0,2.3000000000000003,-2.4899999999999998,-2.5540062470022007,0.3447818128284511,True,True,0.15000000000000002,2.1500000000000004,0.06400624700220092
2.0,2.35,-2.62,-2.627933609457516,0.37071876070369564,True,True,0.15000000000000002,2.2,0.007933609457515978
2.0,2.4000000000000004,-2.75,-2.708209452818171,0.39957536486117606,True,True,0.15000000000000002,2.2500000000000004,0.04179054718182895
2.0,2.45,-2.88,-2.7956424071690993,0.4314799268179665,True,True,0.15000000000000002,2.3000000000000003,0.08435759283090061
2.0,2.5,-3.0749999999999997,-2.8802764971335977,0.47300043603243525,True,True,0.15000000000000002,2.35,0.19472350286640205
2.0,2.5500000000000003,-3.205,-2.9870663885070003,0.5094606640959343,True,True,0.15000000000000002,2.4000000000000004,0.21793361149299972
